0;0.93313;1.5803;1.73042;1.82676;1.83852;1.77947;1.83571;1.85478;1.88824;1.12986;
0.93313;0;0.64716;0.79729;0.89362;0.90539;0.84634;0.90257;0.92164;0.95511;0.19672;
1.5803;0.64716;0;1.44445;1.54079;1.55255;1.4935;1.54974;1.56881;1.60227;0.84389;
1.73042;0.79729;1.44445;0;1.3539;1.4333;1.4523;1.4338;1.4608;1.5473;0.657;
1.82676;0.89362;1.54079;1.3539;0;1.4732;1.4922;1.4737;1.5007;1.5872;0.6969;
1.83852;0.90539;1.55255;1.4333;1.4732;0;1.5716;1.5531;1.5801;1.6666;0.7763;
1.77947;0.84634;1.4935;1.4523;1.4922;1.5716;0;1.5721;1.5991;1.6856;0.7953;
1.83571;0.90257;1.54974;1.4338;1.4737;1.5531;1.5721;0;1.5806;1.6671;0.7768;
1.85478;0.92164;1.56881;1.4608;1.5007;1.5801;1.5991;1.5806;0;1.6941;0.8038;
1.88824;0.95511;1.60227;1.5473;1.5872;1.6666;1.6856;1.6671;1.6941;0;0.8903;
1.12986;0.19672;0.84389;0.657;0.6969;0.7763;0.7953;0.7768;0.8038;0.8903;0;
