0;0.93643;1.81334;0.93592;1.85972;1.89233;1.88824;2.72412;0.9978;1.78342;1.85342;1.8745;1.8827;0.9567;0.9444;2.70954;2.78282;2.72874;
0.93643;0;0.93313;1.82753;1.79794;1.89712;1.88066;1.89144;1.92967;1.88143;1.89962;1.86693;1.87608;1.78977;0.93682;1.83571;1.93268;1.84853;
1.81334;0.93313;0;0.8944;0.8648;1.79227;1.86325;0.9583;0.99654;1.67675;1.73564;1.70248;1.6872;0.85664;0.91942;0.90257;0.99955;0.9154;
0.93592;1.82753;0.8944;0;0.9238;1.9172;2.73594;1.7882;1.8457;0.8475;0.9175;1.76148;1.7462;1.75104;1.7921;1.77362;1.8469;1.8098;
1.85972;1.79794;0.8648;0.9238;0;1.87053;2.70039;1.75265;1.81015;0.81195;0.87083;0.83768;0.8224;1.72144;1.75655;1.73807;1.81135;1.7802;
1.89233;1.89712;1.79227;1.9172;1.87053;0;1.90414;2.75058;1.99292;1.85153;0.9997;1.85195;1.85244;0.93563;0.9603;0.92541;2.79182;2.70767;
1.88824;1.88066;1.86325;2.73594;2.70039;1.90414;0;2.82155;2.85979;1.88844;1.90664;1.87394;1.88309;2.71989;0.94384;2.76583;1;1.97206;
2.72412;1.89144;0.9583;1.7882;1.75265;2.75058;2.82155;0;1.9389;0.9407;2.62348;2.59033;2.57505;1.81494;1.87772;1.86088;1.9401;1.8737;
0.9978;1.92967;0.99654;1.8457;1.81015;1.99292;2.85979;1.9389;0;0.9982;0.99322;0.99733;0.9935;1.85318;1.91596;1.89911;1.99609;1.91194;
1.78342;1.88143;1.67675;0.8475;0.81195;1.85153;1.88844;0.9407;0.9982;0;1.68278;1.64963;1.63435;0.94325;0.9446;0.92612;0.9994;1.97146;
1.85342;1.89963;1.73564;0.9175;0.87083;0.9997;1.90664;2.62348;0.99322;1.68278;0;1.70851;1.69323;0.9311;0.9628;0.92309;2.68218;2.65104;
1.8745;1.86693;1.70248;1.76148;0.83768;1.85195;1.87394;2.59033;0.99733;1.64963;1.70851;0;1.66008;0.93292;0.9301;0.92654;2.64903;2.61788;
1.8827;1.87608;1.6872;1.7462;0.8224;1.85244;1.88309;2.57505;0.9935;1.63435;1.69323;1.66008;0;0.926;0.93925;0.92703;2.63375;2.6026;
0.9567;1.78977;0.85664;1.75104;1.72144;0.93563;2.71989;1.81494;1.85318;0.94325;0.9311;0.93292;0.926;0;1.77606;1.75921;1.85619;1.77204;
0.9444;0.93682;0.91942;1.7921;1.75655;0.9603;0.94384;1.87772;1.91596;0.9446;0.9628;0.9301;0.93925;1.77606;0;1.82199;1.91897;1.83482;
2.70954;1.83571;0.90257;1.77362;1.73807;0.92541;2.76583;1.86088;1.89911;0.92612;0.92309;0.92654;0.92703;1.75921;1.82199;0;1.90212;1.81797;
2.78282;1.93268;0.99955;1.8469;1.81135;2.79182;1;1.9401;1.99609;0.9994;2.68218;2.64903;2.63375;1.85619;1.91897;1.90212;0;0.97206;
2.72874;1.84853;0.9154;1.8098;1.7802;2.70767;1.97206;1.8737;1.91194;1.97146;2.65104;2.61788;2.6026;1.77204;1.83482;1.81797;0.97206;0;
