Time	B0	B1	B2	B3
0.00000	33	 0	0	0
0.35710	32	 0	0	0
0.41660	31	 0	0	0
0.54193	30	 0	0	0
0.56597	29	 0	0	0
0.62772	28	 0	0	0
0.64431	27	 0	0	0
0.64716	26	 0	0	0
0.66785	25	 0	0	0
0.68700	24	 0	0	0
0.80760	23	 0	0	0
0.82644	22	 0	0	0
0.82833	21	 0	0	0
0.82840	21	 1	0	0
0.83573	21	 2	0	0
0.85664	20	 2	0	0
0.87083	20	 3	0	0
0.89440	19	 3	0	0
0.91476	18	 3	0	0
0.91563	17	 3	0	0
0.91942	16	 3	0	0
0.92164	15	 3	0	0
0.92275	15	 4	0	0
0.92419	14	 4	0	0
0.93144	14	 5	0	0
0.93189	13	 5	0	0
0.93313	12	 5	0	0
0.93565	12	 6	0	0
0.93592	12	 7	0	0
0.94640	11	 7	0	0
0.94795	11	 8	0	0
0.94827	10	 8	0	0
0.94844	 9	 8	0	0
0.95047	 9	 9	0	0
0.95281	 8	 9	0	0
0.95416	 8	10	0	0
0.95597	 8	11	0	0
0.95670	 8	12	0	0
0.95807	 7	12	0	0
0.95885	 7	13	0	0
0.96101	 7	14	0	0
0.96106	 7	15	0	0
0.96110	 7	14	0	0
0.96336	 7	15	0	0
0.96385	 6	15	0	0
0.96685	 6	16	0	0
0.96869	 6	17	0	0
0.97035	 6	16	0	0
0.97173	 6	17	0	0
0.97231	 6	18	0	0
0.97373	 6	19	0	0
0.97715	 5	19	0	0
0.98110	 5	20	0	0
0.98653	 4	20	0	0
0.98710	 3	20	0	0
0.99046	 3	21	0	0
0.99268	 2	21	0	0
0.99654	 1	21	0	0
0.99780	 1	22	0	0
0.99820	 1	14	0	0
1.10790	 1	13	0	0
1.16965	 1	12	0	0
1.18624	 1	11	0	0
1.18909	 1	10	0	0
1.22893	 1	 9	0	0
1.29557	 1	 0	0	0
    Inf	 1	 0	0	0
