Time	B0	B1	B2	B3
0.00000	35	 0	0	0
0.35710	34	 0	0	0
0.41660	33	 0	0	0
0.54193	32	 0	0	0
0.56597	31	 0	0	0
0.62772	30	 0	0	0
0.64431	29	 0	0	0
0.64716	28	 0	0	0
0.66785	27	 0	0	0
0.68700	26	 0	0	0
0.80760	25	 0	0	0
0.82644	24	 0	0	0
0.82833	23	 0	0	0
0.82840	23	 1	0	0
0.83573	23	 2	0	0
0.85140	22	 2	0	0
0.85664	21	 2	0	0
0.86675	20	 2	0	0
0.87083	20	 3	0	0
0.89440	19	 3	0	0
0.91476	18	 3	0	0
0.91563	17	 3	0	0
0.91942	16	 3	0	0
0.92275	16	 4	0	0
0.92419	15	 4	0	0
0.93144	15	 5	0	0
0.93189	14	 5	0	0
0.93313	13	 5	0	0
0.93565	13	 6	0	0
0.93592	13	 7	0	0
0.94640	12	 7	0	0
0.94795	12	 8	0	0
0.94827	11	 8	0	0
0.94844	10	 8	0	0
0.95047	10	 9	0	0
0.95281	 9	 9	0	0
0.95416	 9	10	0	0
0.95597	 9	11	0	0
0.95670	 9	12	0	0
0.95807	 8	12	0	0
0.95885	 8	13	0	0
0.96101	 8	14	0	0
0.96106	 8	15	0	0
0.96110	 8	14	0	0
0.96336	 8	15	0	0
0.96385	 7	15	0	0
0.96685	 7	16	0	0
0.96869	 7	17	0	0
0.97035	 7	16	0	0
0.97173	 7	17	0	0
0.97231	 7	18	0	0
0.97373	 7	19	0	0
0.97411	 6	19	0	0
0.97715	 5	19	0	0
0.98110	 5	20	0	0
0.98165	 4	20	0	0
0.98653	 4	21	0	0
0.99022	 3	21	0	0
0.99046	 3	22	0	0
0.99268	 2	22	0	0
0.99300	 2	23	0	0
0.99654	 1	23	0	0
0.99780	 1	24	0	0
0.99812	 1	25	0	0
0.99820	 1	17	0	0
1.10790	 1	16	0	0
1.16965	 1	15	0	0
1.18624	 1	14	0	0
1.18909	 1	13	0	0
1.22893	 1	12	0	0
1.29557	 1	 3	0	0
1.71815	 1	 2	0	0
1.84440	 1	 1	0	0
1.93701	 1	 0	0	0
1.96711	 1	 0	1	0
1.98433	 1	 0	0	0
    Inf	 1	 0	0	0
