0;0.95415;1.7929;0.98511;0.97711;0.92648;1.9321;0.92419;0.89337;0.97679;0.96399;0.99955;0.93416;0.97564;
0.95415;0;0.9911;1.92864;1.93126;1.85752;0.98165;0.94827;1.84752;1.93094;1.91814;1.9537;1.88831;1.92979;
1.7929;0.9911;0;0.99328;0.9749;0.86642;1.94027;0.9564;0.91476;0.98004;0.98555;0.99774;0.96426;0.9958;
0.98511;1.92864;0.99328;0;1.91639;1.8597;0.94699;1.9093;1.87848;1.93014;1.9491;1.94339;1.91927;1.96075;
0.97711;1.93126;0.9749;1.91639;0;1.84132;0.9694;1.9013;1.87048;1.95255;1.9411;1.9658;1.91127;1.95275;
0.92648;1.85752;0.86642;1.8597;1.84132;0;2.80668;1.82282;1.78118;1.84645;1.85197;1.86416;1.83068;1.86222;
1.9321;0.98165;1.94027;0.94699;0.9694;2.80668;0;1.92992;2.82547;0.98315;2.89609;0.9964;2.86626;2.90774;
0.92419;0.94827;0.9564;1.9093;1.9013;1.82282;1.92992;0;1.81756;1.90098;1.88818;1.92374;1.85834;1.89983;
0.89337;1.84752;0.91476;1.87848;1.87048;1.78118;2.82547;1.81756;0;1.87016;1.85736;1.89292;1.82753;1.86901;
0.97679;1.93094;0.98004;1.93014;1.95255;1.84645;0.98315;1.90098;1.87016;0;1.94078;1.97634;1.91095;1.95243;
0.96399;1.91814;0.98555;1.9491;1.9411;1.85197;2.89609;1.88818;1.85736;1.94078;0;1.96354;1.89814;1.93963;
0.99955;1.9537;0.99774;1.94339;1.9658;1.86416;0.9964;1.92374;1.89292;1.97634;1.96354;0;1.93371;1.97519;
0.93416;1.88831;0.96426;1.91927;1.91127;1.83068;2.86626;1.85834;1.82753;1.91095;1.89814;1.93371;0;1.90979;
0.97564;1.92979;0.9958;1.96075;1.95275;1.86222;2.90774;1.89983;1.86901;1.95243;1.93963;1.97519;1.90979;0;
