0;0.64716;0.8648;0.94795;0.99654;0.94313;1.59996;0.92163;1.6005;0.85664;0.91942;0.90257;0.88822;0.18634;0.20602;0.21046;2.53286;
0.64716;0;1.51196;1.59511;1.6437;1.59029;0.9528;1.5688;0.95333;1.5038;1.56658;1.54974;1.53538;0.8335;0.85318;0.85762;1.8857;
0.8648;1.51196;0;1.77548;1.8159;1.76263;0.83768;1.69798;0.8224;1.72144;1.76165;1.74943;1.74525;0.9656;0.9026;0.8881;1.7638;
0.94795;1.59511;1.77548;0;1.93513;1.86275;0.9378;1.86958;2.54844;1.80459;1.86736;1.85052;1.83617;1.13429;1.15396;1.15841;1.8707;
0.99654;1.6437;1.8159;1.93513;0;1.92229;0.99733;1.86908;0.9935;1.85318;1.91596;1.89911;1.88476;0.9969;0.99647;0.99;1.93023;
0.94313;1.59029;1.76263;1.86275;1.92229;0;0.92495;1.86476;2.54362;1.79977;1.85505;1.8457;1.83134;1.12947;1.14914;1.15359;1.85785;
1.59996;0.9528;0.83768;0.9378;0.99733;0.92495;0;0.9488;1.66008;0.93292;0.9301;0.92654;0.92254;1.7863;1.74028;1.72578;0.9329;
0.92163;1.5688;1.69798;1.86958;1.86908;1.86476;0.9488;0;0.87558;1.77827;1.81483;1.80261;1.79843;0.92577;0.92383;0.91287;1.81698;
1.6005;0.95333;0.8224;2.54844;0.9935;2.54362;1.66008;0.87558;0;0.926;0.93925;0.92703;0.92285;1.78684;1.725;1.7105;0.9414;
0.85664;1.5038;1.72144;1.80459;1.85318;1.79977;0.93292;1.77827;0.926;0;1.77606;1.75921;1.74486;1.04298;1.06266;1.0671;1.86582;
0.91942;1.56658;1.76165;1.86736;1.91596;1.85505;0.9301;1.81483;0.93925;1.77606;0;1.82199;1.80763;1.10576;1.12543;1.12988;1.863;
0.90257;1.54974;1.74943;1.85052;1.89911;1.8457;0.92654;1.80261;0.92703;1.75921;1.82199;0;1.79079;1.08891;0.9684;1.11304;1.85944;
0.88822;1.53538;1.74525;1.83617;1.88476;1.83134;0.92254;1.79843;0.92285;1.74486;1.80763;1.79079;0;0.9217;1.09423;1.09868;1.85544;
0.18634;0.8335;0.9656;1.13429;0.9969;1.12947;1.7863;0.92577;1.78684;1.04298;1.10576;1.08891;0.9217;0;0.39236;0.3968;2.7192;
0.20602;0.85318;0.9026;1.15396;0.99647;1.14914;1.74028;0.92383;1.725;1.06266;1.12543;0.9684;1.09423;0.39236;0;0.41648;2.6664;
0.21046;0.85763;0.8881;1.15841;0.99;1.15359;1.72578;0.91287;1.7105;1.0671;1.12988;1.11304;1.09868;0.3968;0.41648;0;2.6519;
2.53286;1.8857;1.7638;1.8707;1.93023;1.85785;0.9329;1.81698;0.9414;1.86582;1.863;1.85944;1.85544;2.7192;2.6664;2.6519;0;
