0;0.64716;0.8944;0.8648;1;1.5828;1.62015;1.79412;1.7622;0.99654;1.54546;1.67675;1.59446;1.59996;0.92163;1.6005;0.92648;0.85664;0.91942;0.90257;0.98796;0.98245;0.98247;0.98306;0.96886;0.9922;0.88822;0.18634;0.20602;0.21046;0.84953;2.51196;0.2308;
0.64716;0;1.54156;1.51196;1.64716;0.93563;0.97299;1.8344;2.40936;1.6437;0.8983;2.32391;0.9473;0.9528;1.5688;0.95333;1.57364;1.5038;1.56658;1.54974;1.63512;1.62961;1.62964;1.63022;1.61602;1.63936;1.53538;0.8335;0.85318;0.85762;1.4967;1.8648;0.87796;
0.8944;1.54156;0;0.9238;0.86838;0.8825;2.51455;0.89973;0.8678;1.8457;0.9026;0.8475;0.9175;1.76148;1.81603;1.7462;1.82088;1.75104;1.7921;1.77362;1.88235;1.87684;1.87687;1.87745;1.44203;1.79008;1.78261;1.08074;1.10041;1.10486;1.74393;1.6942;1.1252;
0.8648;1.51196;0.9238;0;0.6079;0.86157;2.48495;1.70346;0.91327;1.81015;0.85488;0.81195;0.87083;0.83768;1.69798;0.8224;1.7843;1.72144;1.75655;1.73807;1.85276;1.84725;1.84728;1.84786;1.18155;1.5296;1.74525;0.9656;0.9026;0.8881;1.71434;1.73967;1.0956;
1;1.64716;0.86838;0.6079;0;1.46947;2.62015;1.76811;1.52117;1.99654;1.46277;1.41985;1.47873;1.44558;1.92163;1.4303;1.92648;1.85664;1.91942;1.90257;1.98796;1.98245;1.98247;1.98306;0.57365;0.9217;1.88822;1.18634;1.20602;1.21046;1.84953;2.34757;1.2308;
1.5828;0.93563;0.8825;0.86157;1.46947;0;1.90862;1.78223;1.7503;1.99292;1.71644;1.67352;0.9997;1.69925;2.50443;1.68397;2.50928;0.93414;1.9625;0.92532;2.57075;2.56524;2.56527;2.56585;2.04312;2.39117;1.9225;1.76914;1.76417;1.74967;1.92403;1.9172;1.8136;
1.62015;0.97299;2.51455;2.48495;2.62015;1.90862;0;2.76415;3.38235;2.61669;1.87129;1.88844;1.90664;1.87394;2.54178;1.88309;2.54663;2.47679;0.94384;2.52272;2.60811;0.81371;2.60262;0.84543;2.58901;2.61235;2.50837;1.79181;1.79229;1.79273;2.46968;2.80684;1.85095;
1.79412;1.8344;0.89973;1.70346;1.76811;1.78223;2.76415;0;1.76753;1.87456;1.80233;1.74723;1.81723;2.54114;1.75664;0.88106;2.72061;1.80706;1.82031;1.80809;2.78208;2.77657;2.7766;2.77718;2.34176;2.68981;1.80391;1.98046;2.00014;2.00459;1.80318;1.82246;2.02492;
1.7622;2.40936;0.8678;0.91327;1.52117;1.7503;3.38235;1.76753;0;2.7135;1.76814;1.7153;1.7439;1.75095;2.61125;1.73567;2.68868;0.94067;2.6599;0.92656;2.75015;2.74464;2.74467;2.74525;2.09482;2.44287;2.65041;1.87887;1.81587;1.80137;2.61173;0.8264;1.993;
0.99654;1.6437;1.8457;1.81015;1.99654;1.99292;2.61669;1.87456;2.7135;0;2.542;0.9982;0.99322;0.99733;1.86908;0.9935;1.8862;1.85318;1.91596;1.89911;1.98073;1.96902;1.96177;1.97311;1.95897;1.97428;1.88476;0.9969;0.99647;0.99;1.84607;1.91072;1.22734;
