0;0.64716;0.99115;0.79729;0.89362;0.90539;0.84634;0.90257;0.92164;0.95511;0.98796;0.19672;
0.64716;0;1.63831;1.44445;1.54079;1.55255;1.4935;1.54974;1.56881;1.60227;1.63512;0.84389;
0.99115;1.63831;0;1.78844;1.88477;1.89654;1.83749;1.89372;1.91279;0.99075;1.97757;1.18787;
0.79729;1.44445;1.78844;0;1.3539;1.4333;1.4523;1.4338;1.4608;1.5473;1.78525;0.657;
0.89362;1.54079;1.88477;1.3539;0;1.4732;1.4922;1.4737;1.5007;1.5872;1.88158;0.6969;
0.90539;1.55255;1.89654;1.4333;1.4732;0;1.5716;1.5531;1.5801;1.6666;1.89335;0.7763;
0.84634;1.4935;1.83749;1.4523;1.4922;1.5716;0;1.5721;1.5991;1.6856;1.8343;0.7953;
0.90257;1.54974;1.89372;1.4338;1.4737;1.5531;1.5721;0;1.5806;1.6671;1.89053;0.7768;
0.92164;1.56881;1.91279;1.4608;1.5007;1.5801;1.5991;1.5806;0;1.6941;1.9096;0.8038;
0.95511;1.60227;0.99075;1.5473;1.5872;1.6666;1.6856;1.6671;1.6941;0;0.98683;0.8903;
0.98796;1.63512;1.97757;1.78525;1.88158;1.89335;1.8343;1.89053;1.9096;0.98683;0;1.18468;
0.19672;0.84389;1.18787;0.657;0.6969;0.7763;0.7953;0.7768;0.8038;0.8903;1.18468;0;
