0;0.9611;1.89278;0.93997;21;21;1.93997;1.76829;1.87673;1.76641;1.93651;21;2.89293;1.85938;1.80671;1.91685;1.92244;1.84092;1.90396;1.12631;1.56769;
0.9611;0;0.97012;1.29557;21;21;1.48053;0.92275;0.91563;1.68639;0.9978;21;3.24853;0.9444;2.16232;2.27245;2.27804;2.19653;2.25956;1.48191;0.66785;
1.89278;0.97012;0;0.95281;21;21;1.95281;1.78114;1.88575;1.77926;1.94935;21;2.90578;1.87223;1.81956;1.92969;1.93529;1.85377;1.9168;1.13915;1.58053;
0.93997;1.29557;0.95281;0;21;21;1;0.82833;0.95597;0.82644;0.99654;21;1.95296;0.91942;0.86675;0.97688;0.98247;0.90096;0.96399;0.18634;0.62772;
21;21;21;21;0;0.9238;21;21;21;21;21;0.9026;21;21;21;21;21;21;21;21;21;
21;21;21;21;0.9238;0;21;21;21;21;21;0.85488;21;21;21;21;21;21;21;21;21;
1.93997;1.48053;1.95281;1;21;21;0;1.82833;0.5649;0.20586;1.99654;21;2.95296;1.91942;0.91269;1.97688;1.98247;0.93238;0.96141;1.18634;1.62772;
1.76829;0.92275;1.78114;0.82833;21;21;1.82833;0;1.7843;1.65477;1.82487;21;2.78129;1.74774;1.69507;1.80521;1.8108;1.72928;1.79231;1.01467;1.45605;
1.87673;0.91563;1.88575;0.95597;21;21;0.5649;1.7843;0;0.77076;1.91343;21;2.90893;1.86003;1.47759;1.93285;1.93844;1.49728;1.52631;1.14231;1.58348;
1.76641;1.68639;1.77926;0.82644;21;21;0.20586;1.65477;0.77076;0;1.82298;21;2.77941;1.74586;1.11855;1.80332;1.80892;1.13824;1.16727;1.01278;1.45416;
1.93651;0.9978;1.94935;0.99654;21;21;1.99654;1.82487;1.91343;1.82298;0;21;2.9495;1.91596;1.86329;1.97342;1.97901;1.8975;1.96053;0.9969;1.62426;
21;21;21;21;0.9026;0.85488;21;21;21;21;21;0;21;21;21;21;21;21;21;21;21;
2.89293;3.24853;2.90578;1.95296;21;21;2.95296;2.78129;2.90893;2.77941;2.9495;21;0;2.87238;2.81971;0.98418;0.97049;2.85392;2.91695;2.1393;2.58068;
1.85938;0.9444;1.87223;0.91942;21;21;1.91942;1.74774;1.86003;1.74586;1.91596;21;2.87238;0;1.78616;1.8963;1.90189;1.82037;1.8834;1.10576;1.54714;
1.80671;2.16232;1.81956;0.86675;21;21;0.91269;1.69507;1.47759;1.11855;1.86329;21;2.81971;1.78616;0;1.84363;1.84922;1.7677;1.83073;1.05309;1.49447;
1.91685;2.27245;1.92969;0.97688;21;21;1.97688;1.80521;1.93285;1.80332;1.97342;21;0.98418;1.8963;1.84363;0;1.95467;1.87784;1.94087;1.16322;1.6046;
1.92244;2.27804;1.93529;0.98247;21;21;1.98247;1.8108;1.93844;1.80892;1.97901;21;0.97049;1.90189;1.84922;1.95467;0;1.88343;1.94646;1.16881;1.61019;
1.84092;2.19653;1.85377;0.90096;21;21;0.93238;1.72928;1.49728;1.13824;1.8975;21;2.85392;1.82037;1.7677;1.87784;1.88343;0;1.86494;1.0873;1.52868;
1.90396;2.25956;1.9168;0.96399;21;21;0.96141;1.79231;1.52631;1.16727;1.96053;21;2.91695;1.8834;1.83073;1.94087;1.94646;1.86494;0;1.15033;1.59171;
1.12631;1.48191;1.13915;0.18634;21;21;1.18634;1.01467;1.14231;1.01278;0.9969;21;2.1393;1.10576;1.05309;1.16322;1.16881;1.0873;1.15033;0;0.81406;
1.56769;0.66785;1.58053;0.62772;21;21;1.62772;1.45605;1.58348;1.45416;1.62426;21;2.58068;1.54714;1.49447;1.6046;1.61019;1.52868;1.59171;0.81406;0;
