0;0.99654;1.85867;0.91942;1.2012;0.98247;2.78152;10;1.94777;0.21046;
0.99654;0;0.9935;1.91596;2.19774;1.97901;1.91635;10;2.83805;1.207;
1.85867;0.9935;0;0.93925;2.83581;2.80985;0.92285;10;1.84455;2.06913;
0.91942;1.91596;0.93925;0;2.12061;1.90189;1.8621;10;2.7838;1.12988;
1.2012;2.19774;2.83581;2.12061;0;1.95656;1.91296;10;0.99126;0.99073;
0.98247;1.97901;2.80985;1.90189;1.95656;0;1.887;10;0.9653;1.19294;
2.78152;1.91635;0.92285;1.8621;1.91296;1.887;0;10;0.9217;2.90369;
10;10;10;10;10;10;10;0;10;10;
1.94777;2.83805;1.84455;2.7838;0.99126;0.9653;0.9217;10;0;1.98199;
0.21046;1.207;2.06913;1.12988;0.99073;1.19294;2.90369;10;1.98199;0;
