0;0.9811;1.89191;0.97715;1.62431;1.87155;1.94628;1.92559;1.84195;1.97715;1.96737;1.94496;1.89674;1.80359;1.54312;1.77444;1.93545;1.90134;1.96511;1.95962;1.96021;1.86378;1.69759;1.16349;2.73005;
0.9811;0;0.93979;1.53282;0.94795;0.93592;1.91766;1.84252;1.76792;1.16002;0.99125;0.96385;0.91563;0.95416;0.96685;2.01877;2.10333;0.95047;2.52078;2.51529;2.51588;2.09524;2.13441;1.71916;2.65602;
1.89191;0.93979;0;0.91476;1.56193;1.80916;1.8839;1.86321;1.77957;1.91476;1.90498;1.88708;1.85543;1.74121;1.48074;1.71205;1.87307;1.83895;1.90272;1.89724;1.89782;1.80139;1.63521;1.1011;2.66767;
0.97715;1.53282;0.91476;0;0.64716;0.8944;0.96913;0.94844;0.8648;1;0.99022;0.97231;0.95597;0.82644;0.56597;0.79729;0.9583;0.92419;0.98796;0.98247;0.98306;0.88663;0.72044;0.18634;1.7529;
1.62431;0.94795;1.56193;0.64716;0;1.54156;1.61629;1.59561;1.51196;1.64716;1.63738;1.61947;1.60313;1.47361;1.21313;1.44445;1.60546;1.57135;1.63512;1.62964;1.63022;1.53379;1.3676;0.8335;2.40006;
1.87155;0.93592;1.80916;0.8944;1.54156;0;1.62602;1.55088;1.47628;0.86838;1.88462;1.86671;1.43328;1.07424;1.46037;1.69168;1.81169;1.81858;1.88235;1.87687;1.87745;1.78102;1.61484;1.08074;2.36438;
1.94628;1.91766;1.8839;0.96913;1.61629;1.62602;0;1.44013;1.36553;0.75763;1.95935;1.94144;1.32253;0.96349;1.5351;1.61638;1.70094;1.89332;1.95709;1.95161;1.95219;1.69285;1.68957;1.15547;2.25363;
1.92559;1.84252;1.86321;0.94844;1.59561;1.55088;1.44013;0;1.2904;0.6825;1.93866;1.92076;1.2474;0.88836;1.51442;1.54125;1.62581;1.87263;1.9364;1.93092;1.9315;1.61772;1.65689;1.13478;2.1785;
1.84195;1.76792;1.77957;0.8648;1.51196;1.47628;1.36553;1.2904;0;0.6079;1.85502;1.83711;1.1728;0.81376;1.43077;1.46665;1.55121;1.78899;1.85276;1.84728;1.84786;1.54312;1.58229;1.05114;0.8881;
1.97715;1.16002;1.91476;1;1.64716;0.86838;0.75763;0.6825;0.6079;0;1.99022;1.97231;0.5649;0.20586;1.56597;0.85875;0.94331;1.92419;1.98796;1.98247;1.98306;0.93522;0.97439;1.18634;1.496;
1.96737;0.99125;1.90498;0.99022;1.63738;1.88462;1.95935;1.93866;1.85502;1.99022;0;1.9551;1.90688;1.81666;1.55619;1.78751;1.94852;1.91441;1.97818;1.97269;1.97328;1.87685;1.71066;1.17656;2.74312;
1.94496;0.96385;1.88708;0.97231;1.61947;1.86671;1.94144;1.92076;1.83711;1.97231;1.9551;0;1.87949;1.79876;1.53828;1.7696;1.93061;1.8965;1.96027;1.95478;1.95537;1.85894;1.69275;1.15865;2.72521;
1.89674;0.91563;1.85543;0.95597;1.60313;1.43328;1.32253;1.2474;1.1728;0.5649;1.90688;1.87949;0;0.77076;1.52194;1.42365;1.50821;1.86611;1.94393;1.93844;1.93903;1.50012;1.53929;1.14231;2.0609;
1.80359;0.95416;1.74121;0.82644;1.47361;1.07424;0.96349;0.88836;0.81376;0.20586;1.81666;1.79876;0.77076;0;1.39242;1.06461;1.14917;1.75063;1.8144;1.80892;1.8095;1.14108;1.18025;1.01278;1.70186;
1.54312;0.96685;1.48074;0.56597;1.21313;1.46037;1.5351;1.51442;1.43077;1.56597;1.55619;1.53828;1.52194;1.39242;0;1.36326;1.52427;1.49016;1.55393;1.54844;1.54903;1.4526;1.28641;0.75231;2.31887;
