0;1.89803;0.9611;1.88637;1.8731;0.93997;1.83436;1.58427;1.88841;2.75816;2.596;1.93019;1.76829;1.76641;1.93145;1.50594;1.73726;1.89827;2.70216;1.93651;2.68186;2.69076;1.8616;2.71162;3.62511;1.86415;1.85938;1.84254;1.92792;1.92302;1.82818;1.12631;1.14598;1.15043;1.7895;1.62697;1.13669;1.17077;
1.89803;0;0.96403;1.90447;1.8912;0.95807;1.85246;1.60237;1.90651;2.77626;2.6141;1.94829;1.78639;1.78451;1.93438;1.52404;1.75536;1.91637;2.72026;1.95461;2.69996;2.70886;1.8797;2.72972;3.64321;1.88225;1.87748;1.86064;1.94602;1.94112;1.84628;1.14441;1.16408;1.16853;1.8076;1.64507;1.15479;1.18887;
0.9611;0.96403;0;0.97996;0.93643;1.51514;2.40953;0.87083;0.96869;2.70095;3.17118;0.99125;0.92275;0.95416;0.97035;0.96685;2.31243;2.47344;3.27733;2.51168;1.889;3.26593;2.43677;3.28679;2.83225;0.95047;0.9444;2.41771;2.5031;2.4982;2.40336;1.70148;1.72116;1.7256;2.36467;0.8284;1.71186;1.74594;
1.88637;1.90447;0.97996;0;1.87953;0.9464;1.8408;1.59071;1.89484;2.7646;2.60244;1.93662;1.77473;1.77284;1.95031;1.51237;1.74369;1.9047;2.7086;1.94294;2.6883;2.6972;1.86803;2.71805;3.63155;1.87059;1.86582;1.84897;1.93436;1.92946;1.83462;1.13274;1.15242;1.15686;1.79593;1.6334;1.14312;1.1772;
1.8731;1.8912;0.93643;1.87953;0;0.93313;1.82753;1.57744;1.88158;2.75133;2.58917;1.92335;1.76146;1.75958;1.90678;1.4991;1.73042;1.89144;2.69533;1.92967;2.67503;2.68393;1.85477;2.70479;3.61828;1.85732;1.85255;1.83571;1.92109;1.91619;1.82135;1.11947;1.13915;1.1436;1.78267;1.62013;1.12986;1.16393;
0.93997;0.95807;1.51514;0.9464;0.93313;0;0.8944;0.64431;0.94844;1.8182;1.65604;0.99022;0.82833;0.82644;1.87245;0.56597;0.79729;0.9583;1.7622;0.99654;1.7419;1.7508;0.92163;1.77165;2.68515;0.92419;0.91942;0.90257;0.98796;0.98306;0.88822;0.18634;0.20602;0.21046;0.84953;0.687;0.19672;0.2308;
1.83436;1.85246;2.40953;1.8408;1.82753;0.8944;0;1.5387;1.84284;0.9238;0.86838;1.88462;1.72272;1.72084;2.76685;1.46037;0.90202;1.7882;0.8678;1.8561;0.8475;0.8564;1.81603;2.66605;1.79075;1.81858;1.7921;1.77362;1.88235;1.87745;1.78261;1.08074;1.10041;1.10486;1.74393;1.5814;1.09112;1.1252;
1.58427;1.60237;0.87083;1.59071;1.57744;0.64431;1.5387;0;1.59275;2.4625;2.30034;1.63453;1.47263;1.47075;1.84118;1.21028;1.4416;1.60261;2.4065;1.64085;2.3862;2.3951;1.56594;2.41596;3.32945;1.56849;1.56372;1.54688;1.63226;1.62736;1.53253;0.83065;0.85033;0.85477;1.49384;1.33131;0.84103;0.87511;
1.88841;1.90651;0.96869;1.89484;1.88158;0.94844;1.84284;1.59275;0;2.76664;2.60448;1.93866;1.77677;1.77489;1.93904;1.51442;1.74573;1.90675;2.71064;1.94498;2.69034;2.69924;1.87008;2.7201;3.63359;1.87263;1.86786;1.85102;1.9364;1.9315;1.83666;1.13478;1.15446;1.15891;1.79798;1.63544;1.14517;1.17924;
2.75816;2.77626;2.70095;2.7646;2.75133;1.8182;0.9238;2.4625;2.76664;0;1.79218;2.80842;2.64652;2.64464;3.6713;2.38417;1.82582;1.75265;1.7916;2.7799;0.81195;1.7802;2.73983;2.6812;1.7552;2.74238;1.75655;1.73807;2.80615;2.80125;2.70641;2.00454;2.02421;2.02866;2.66773;2.5052;2.01492;2.049;
