0;0.97715;1.62431;2.67646;1.97715;1.78475;1.9313;2.76942;2.5973;2.77899;1.77444;2.92046;2.16039;2.84117;3.07313;1.96226;1.95426;1.88254;1.90363;2.90925;1.83379;1.89657;2.15157;1.93226;1.9565;1.95403;1.9596;1.95394;1.95962;2.14579;1.9767;1.92378;1.86537;1.16349;1.18317;1.18761;1.82668;1.95865;0.98196;2.50641;
0.97715;0;0.64716;1.69931;1;0.8076;0.95415;1.79227;1.62015;1.80184;0.79729;1.94331;1.18324;1.86402;2.09598;0.98511;0.97711;0.90539;0.92648;1.9321;0.85664;0.91942;1.17442;0.95511;0.97935;0.97688;0.98245;0.97679;0.98247;1.16864;0.99955;0.94663;0.88822;0.18634;0.20602;0.21046;0.84953;0.9815;1.91751;1.52926;
1.62431;0.64716;0;2.34647;1.64716;1.45476;1.60131;2.43944;0.97299;2.449;1.44445;1.579;1.8304;2.51118;2.58047;1.63228;1.62427;1.55255;1.57364;2.57926;1.5038;1.56658;1.6589;1.60227;1.62651;1.62404;1.62961;1.62396;1.62964;1.8158;1.64671;1.59379;1.53538;0.8335;0.85318;0.85762;1.4967;1.62866;2.56468;0.8821;
2.67646;1.69931;2.34647;0;1.76077;2.50691;2.65346;2.75503;3.31946;0.8742;0.90202;2.70408;1.8561;2.8543;0.8564;2.68443;2.67642;2.6047;2.62579;3.63141;1.8194;2.61873;1.77797;2.65442;2.67866;2.67619;2.68176;2.6761;2.68178;2.86795;2.69886;2.64594;2.58753;1.88565;1.90533;1.90977;2.54885;2.68081;3.61683;2.55477;
1.97715;1;1.64716;1.76077;0;0.9526;1.95415;2.79227;2.62015;2.63497;0.85875;0.94331;2.18324;1.88401;2.61717;1.98511;1.97711;0.95107;1.92648;2.9321;1.85664;1.91942;2.17442;1.95511;1.97935;1.97688;1.98245;1.97679;1.98247;2.16864;1.99955;0.97196;1.88822;1.18634;1.20602;1.21046;1.84953;1.9815;2.91751;1.64021;
1.78475;0.8076;1.45476;2.50691;0.9526;0;1.76175;2.59987;2.42775;2.60944;1.60488;1.89591;1.99084;2.67161;2.90358;1.79271;1.78471;1.71298;1.73408;2.7397;1.66424;1.72701;1.98201;1.76271;1.78694;1.78448;1.79004;1.78439;1.79007;1.97624;1.80715;1.75422;1.69581;0.99394;1.01361;1.01806;1.65713;1.7891;2.72511;2.33686;
1.9313;0.95415;1.60131;2.65346;1.95415;1.76175;0;2.74642;2.5743;2.75599;1.75144;2.89746;2.13739;2.81817;3.05013;1.92864;1.93126;1.85954;1.88063;0.98165;1.81079;1.87357;2.12857;1.90926;1.9335;1.93103;1.9366;1.93094;1.93662;2.12279;1.9537;1.90078;1.84237;1.14049;1.16017;1.16461;1.80368;1.93565;0.96336;2.48341;
2.76942;1.79227;2.43944;2.75503;2.79227;2.59987;2.74642;0;3.41243;1.88083;2.58956;2.8456;2.8406;1.9049;3.61143;2.77739;2.76939;2.69766;2.71876;3.72437;0.93563;0.9603;2.80328;2.74738;2.77162;2.76915;2.77472;2.76907;2.77475;2.826;2.79182;2.7389;0.922;1.8437;1.99829;2.00274;2.64181;2.77377;3.70979;3.32154;
2.5973;1.62015;0.97299;3.31946;2.62015;2.42775;2.5743;3.41243;0;3.42199;2.41744;2.55199;2.78871;1.9994;3.55346;2.60527;2.59726;2.52554;2.54663;1.9964;2.47679;2.53957;2.63189;2.57526;2.5995;2.59703;0.81371;2.59694;2.60262;0.84543;1;2.56678;2.50837;1.79181;1.82617;1.79273;2.46968;0.9997;3.53766;1.85509;
2.77899;1.80184;2.449;0.8742;2.63497;2.60944;2.75599;1.88083;3.42199;0;1.77622;2.39614;0.9982;1.9964;1.7306;2.78695;2.77895;2.70723;2.72832;3.73394;0.9452;2.72126;0.92244;2.58954;2.78119;2.77872;2.78429;2.77863;2.78431;2.87357;2.80139;2.74847;2.69006;1.98818;1.89084;2.0123;2.65137;2.78334;3.71935;1.69924;
