0;1.91712;2.31762;1.88637;1.89278;1.8731;1.85473;0.93997;1.48189;3.26557;1.94577;1.83436;1.88841;1.93997;1.94932;2.90272;1.76829;1.89594;1.76641;2.40876;2.74181;1.93651;2.87358;2.73287;1.91708;2.93384;1.86645;1.79661;1.86415;1.92792;1.92241;2.13354;1.90122;1.84092;1.90396;1.87412;1.14598;1.15043;0.95885;1.62697;3.65931;
1.91712;0;0.9811;1.92355;1.92996;1.91028;1.89191;0.97715;1.51908;1.92905;1.96887;1.87155;1.92559;1.97715;1.97235;1.94496;1.80548;1.89674;1.80359;2.44594;2.77899;1.97369;2.91076;2.77005;1.95426;2.97102;1.90363;1.83379;1.90134;1.96511;1.9596;2.17073;1.93841;1.87811;1.94114;1.91131;1.18317;1.18761;0.98196;1.66415;3.69649;
2.31762;0.9811;0;0.97996;0.97012;0.93643;0.93979;1.37765;0.83573;0.94795;2.72129;0.93592;0.96869;1.16002;0.99125;0.96385;0.92275;0.91563;0.95416;1.76259;1.86145;0.9978;1.95092;3.17055;2.35477;1.99513;2.30414;0.9567;0.95047;2.36561;2.3601;2.57123;2.13777;2.09241;2.12143;2.31181;1.58367;1.58812;1.87123;0.8284;2.77895;
1.88637;1.92355;0.97996;0;1.89921;1.87953;1.86116;0.9464;1.48833;1.92791;2.93151;1.8408;1.89484;1.9464;1.97121;1.94382;1.77473;1.8956;1.77284;2.41519;2.74824;1.94294;2.88001;2.7393;1.92351;2.94027;1.87288;1.80304;1.87059;1.93436;1.92885;2.13998;1.90766;1.84736;1.91039;1.88056;1.15242;1.15686;1.9446;1.6334;3.66574;
1.89278;1.92996;0.97012;1.89921;0;1.88595;1.86758;0.95281;1.49474;1.91806;1.94792;1.84721;1.90126;1.95281;1.95147;1.93397;1.78114;1.88575;1.77926;2.42161;2.75465;1.94935;0.9808;2.74571;1.92993;2.8312;1.8793;1.80945;1.877;1.94077;1.93526;2.14639;1.91407;1.85377;1.9168;1.88697;1.15883;1.16328;0.96101;1.63981;1.8983;
1.8731;1.91028;0.93643;1.87953;1.88595;0;1.8479;0.93313;1.47506;1.88438;2.91825;1.82753;1.88158;1.93313;1.92768;1.90028;1.76146;1.85206;1.75958;2.40193;2.73497;1.92967;2.86675;2.72603;1.91024;2.92701;1.85962;1.78977;1.85732;1.92109;1.91558;2.12671;1.89439;1.83409;1.89712;1.86729;1.13915;1.1436;1.93133;1.62013;3.65247;
1.85473;1.89191;0.93979;1.86116;1.86758;1.8479;0;0.91476;1.45669;1.88774;1.91835;1.80916;1.86321;1.91476;1.9219;1.90365;1.74309;1.85543;1.74121;2.38356;2.7166;1.9113;2.84838;2.70766;1.89188;2.90864;1.84125;1.7714;1.83895;1.90272;1.89721;2.10834;1.87602;1.81572;1.87875;1.84892;1.12078;1.12523;0.93144;1.60176;3.6341;
0.93997;0.97715;1.37765;0.9464;0.95281;0.93313;0.91476;0;0.54193;2.3256;1.98511;0.8944;0.94844;1;1.98866;1.96275;0.82833;0.95597;0.82644;1.46879;1.80184;0.99654;1.93361;1.7929;0.97711;1.99387;0.92648;0.85664;0.92419;0.98796;0.98245;1.19358;0.96126;0.90096;0.96399;0.93416;0.20602;0.21046;0.9982;0.687;2.71934;
1.48189;1.51908;0.83573;1.48833;1.49474;1.47506;1.45669;0.54193;0;1.78367;1.88557;1.43632;1.49037;1.54193;1.82698;1.79958;1.37025;1.4979;1.36837;0.92687;2.34377;1.53847;2.47554;2.33483;1.51904;2.5358;1.46841;1.39857;1.46611;1.52988;1.52437;1.7355;1.50318;1.44288;1.50592;1.47608;0.74794;0.75239;1.54013;1.22893;3.26127;
3.26557;1.92905;0.94795;1.92791;1.91806;1.88438;1.88774;2.3256;1.78367;0;3.66924;1.88386;1.91663;2.10797;1.9392;1.9118;1.8707;1.86358;1.90211;2.71054;0.9135;1.9117;2.7485;4.1185;3.30271;2.7639;3.25208;1.8587;1.89842;3.31356;3.30805;3.51918;3.08571;3.04035;3.06938;3.25976;2.53162;2.53606;2.81918;1.77635;1.831;
