0;0.93979;1.81334;2.79616;2.75863;2.76749;1.89084;2.88103;1.89786;1.8878;0.9567;2.73753;2.73276;2.81089;2.8013;2.98198;2.80554;1.99968;2.01936;2.66287;
0.93979;0;0.91476;3.61087;2.02338;1.86891;2.70555;2.11725;2.71257;2.68863;1.7714;1.83895;1.83418;3.61172;1.90272;2.0834;1.90697;1.1011;1.12078;1.7643;
1.81334;0.91476;0;2.6961;1.10862;0.95415;1.79078;1.20248;1.7978;1.77387;0.85664;0.92419;0.91942;2.69696;0.98796;1.16864;0.9922;0.18634;0.20602;0.84953;
2.79616;3.61087;2.6961;0;1.81813;3.65025;1.947;1.94052;0.8983;0.9473;1.83946;3.62029;1.9101;1.82349;3.68406;3.70346;3.68831;2.88244;2.72073;1.87163;
2.75863;2.02338;1.10862;1.81813;0;2.06277;1.87053;1.86406;2.71643;0.87083;1.80193;2.0328;1.83363;1.79392;1.89066;1.88532;1.88771;1.29496;0.9026;1.79517;
2.76749;1.86891;0.95415;3.65025;2.06277;0;2.74493;2.15663;2.75195;2.72802;1.81079;0.94827;1.87357;3.65111;1.94211;2.12279;1.94635;1.14049;1.16017;1.80368;
1.89084;2.70555;1.79078;1.947;1.87053;2.74493;0;1.99292;1.87531;0.9997;0.93414;2.71497;1.9625;1.92279;2.77874;2.95942;2.78298;1.97712;1.9968;1.92403;
2.88103;2.11725;1.20248;1.94052;1.86406;2.15663;1.99292;0;2.83882;0.99322;1.92432;2.12667;1.95602;1.91631;1.98453;1.97919;1.98158;1.38882;0.99647;1.91756;
1.89786;2.71257;1.7978;0.8983;2.71643;2.75195;1.87531;2.83882;0;1.8456;0.94116;2.72199;2.71722;0.92519;2.78576;2.96644;2.79001;1.98414;2.00382;2.64734;
1.8878;2.68863;1.77387;0.9473;0.87083;2.72802;0.9997;0.99322;1.8456;0;0.9311;2.69805;0.9628;0.92309;2.76149;2.75616;2.75855;1.96021;1.77343;0.92433;
0.9567;1.7714;0.85664;1.83946;1.80193;1.81079;0.93414;1.92432;0.94116;0.9311;0;1.78083;1.77606;1.85419;1.8446;2.02528;1.84884;1.04298;1.06266;1.70617;
2.73753;1.83895;0.92419;3.62029;2.0328;0.94827;2.71497;2.12667;2.72199;2.69805;1.78083;0;1.8436;3.62114;1.91214;2.09283;1.91639;1.11053;1.1302;1.77372;
2.73276;1.83418;0.91942;1.9101;1.83363;1.87357;1.9625;1.95602;2.71722;0.9628;1.77606;1.8436;0;1.88589;1.90737;2.08806;1.91162;1.10576;1.12543;1.76895;
2.81089;3.61172;2.69696;1.82349;1.79392;3.65111;1.92279;1.91631;0.92519;0.92309;1.85419;3.62114;1.88589;0;3.68458;3.67925;3.68164;2.8833;2.69652;1.84742;
2.8013;1.90272;0.98796;3.68406;1.89066;1.94211;2.77874;1.98453;2.78576;2.76149;1.8446;1.91214;1.90737;3.68458;0;1.97079;1.97317;1.1743;0.98806;1.83749;
2.98198;2.0834;1.16864;3.70346;1.88532;2.12279;2.95942;1.97919;2.96644;2.75616;2.02528;2.09283;2.08806;3.67925;1.97079;0;1.96784;0.9823;0.98272;2.01817;
2.80554;1.90697;0.9922;3.68831;1.88771;1.94635;2.78298;1.98158;2.79001;2.75855;1.84884;1.91639;1.91162;3.68164;1.97317;1.96784;0;1.17854;0.98511;1.84174;
1.99968;1.1011;0.18634;2.88244;1.29496;1.14049;1.97712;1.38882;1.98414;1.96021;1.04298;1.11053;1.10576;2.8833;1.1743;0.9823;1.17854;0;0.39236;1.03587;
2.01936;1.12078;0.20602;2.72073;0.9026;1.16017;1.9968;0.99647;2.00382;1.77343;1.06266;1.1302;1.12543;2.69652;0.98806;0.98272;0.98511;0.39236;0;1.05555;
2.66287;1.7643;0.84953;1.87163;1.79517;1.80368;1.92403;1.91756;2.64734;0.92433;1.70617;1.77372;1.76895;1.84742;1.83749;2.01817;1.84174;1.03587;1.05555;0;
