Time	B0	B1	B2	B3
0.00000	65	 0	0	0
0.18634	64	 0	0	0
0.19672	63	 0	0	0
0.20602	62	 0	0	0
0.26120	61	 0	0	0
0.29500	60	 0	0	0
0.54193	59	 0	0	0
0.56490	58	 0	0	0
0.56597	57	 0	0	0
0.57365	56	 0	0	0
0.62772	55	 0	0	0
0.64716	54	 0	0	0
0.66785	53	 0	0	0
0.68250	52	 0	0	0
0.68700	51	 0	0	0
0.77680	50	 0	0	0
0.79847	49	 0	0	0
0.80760	48	 0	0	0
0.82644	47	 0	0	0
0.82833	47	 1	0	0
0.82840	47	 2	0	0
0.83573	47	 3	0	0
0.84953	46	 3	0	0
0.85664	45	 3	0	0
0.86675	44	 3	0	0
0.86838	43	 3	0	0
0.87083	42	 3	0	0
0.87558	41	 3	0	0
0.88822	40	 3	0	0
0.89504	39	 3	0	0
0.90096	38	 3	0	0
0.90260	36	 3	0	0
0.91476	35	 3	0	0
0.91563	35	 4	0	0
0.91750	35	 5	0	0
0.91942	34	 5	0	0
0.92163	33	 5	0	0
0.92254	32	 5	0	0
0.92285	32	 6	0	0
0.92309	32	 7	0	0
0.92419	31	 7	0	0
0.92433	31	 8	0	0
0.92541	30	 8	0	0
0.92612	29	 8	0	0
0.92654	29	 9	0	0
0.92687	28	 9	0	0
0.92703	28	10	0	0
0.93175	27	10	0	0
0.93238	27	11	0	0
0.93313	26	11	0	0
0.93565	25	11	0	0
0.93592	25	12	0	0
0.93643	25	13	0	0
0.93979	25	14	0	0
0.93980	24	14	0	0
0.93997	23	14	0	0
0.94015	22	14	0	0
0.94070	22	15	0	0
0.94325	22	16	0	0
0.94331	22	17	0	0
0.94384	22	18	0	0
0.94460	22	19	0	0
0.94640	21	19	0	0
0.94795	21	20	0	0
0.95047	21	21	0	0
0.95110	21	22	0	0
0.95260	21	23	0	0
0.95415	20	23	0	0
0.95416	20	24	0	0
0.95511	19	24	0	0
0.95670	19	25	0	0
0.95807	18	25	0	0
0.95885	18	26	0	0
0.96030	18	27	0	0
0.96106	18	28	0	0
0.96110	18	29	0	0
0.96141	17	29	0	0
0.96250	17	30	0	0
0.96280	17	31	0	0
0.96385	16	31	0	0
0.96399	16	32	0	0
0.96403	16	33	0	0
0.96685	16	34	0	0
0.97012	15	34	0	0
0.97035	15	35	0	0
0.97231	15	36	0	0
0.97299	15	37	0	0
0.97373	15	38	0	0
0.97564	14	38	0	0
0.97728	13	38	0	0
0.97825	13	39	0	0
0.97996	13	40	0	0
0.98080	13	41	0	0
0.98110	12	41	0	0
0.98150	11	41	0	0
0.98196	11	42	0	0
0.98272	10	42	0	0
0.98321	10	43	0	0
0.98511	 9	43	0	0
0.98691	 8	43	0	0
0.98723	 7	43	0	0
0.98732	 7	44	0	0
0.98796	 6	44	0	0
0.98835	 6	45	0	0
0.99046	 5	45	0	0
0.99075	 4	45	0	0
0.99076	 4	46	0	0
0.99125	 4	47	0	0
0.99322	 3	47	0	0
0.99350	 3	48	0	0
0.99484	 2	48	0	0
0.99581	 2	49	0	0
0.99647	 2	50	0	0
0.99665	 1	50	0	0
0.99733	 1	51	0	0
0.99780	 1	52	0	0
0.99820	 1	47	0	0
0.99940	 1	48	0	0
0.99955	 1	49	0	0
0.99970	 1	49	0	0
1.00000	 1	50	0	0
1.03434	 1	49	0	0
1.05967	 1	48	0	0
1.08953	 1	44	0	0
1.10790	 1	43	0	0
1.12958	 1	42	0	0
1.16965	 1	41	0	0
1.18395	 1	40	0	0
1.18909	 1	38	0	0
1.22893	 1	37	0	0
1.29557	 1	25	0	0
1.46134	 1	24	0	0
1.46879	 1	22	0	0
1.64895	 1	21	0	0
1.65910	 1	20	0	0
1.69989	 1	16	0	0
1.70221	 1	15	0	0
1.70292	 1	11	0	0
1.70334	 1	 9	0	0
1.70383	 1	 6	0	0
1.77098	 1	 5	0	0
1.78588	 1	 4	0	0
1.78833	 1	 4	1	0
1.85163	 1	 3	1	0
1.85342	 1	 3	2	0
1.86682	 1	 2	2	0
1.88050	 1	 2	3	0
1.89830	 1	 2	2	0
1.91072	 1	 2	1	0
1.92738	 1	 1	1	0
1.93906	 1	 1	1	1
1.94617	 1	 1	0	1
1.95791	 1	 1	0	0
1.97048	 1	 0	0	0
    Inf	 1	 0	0	0
