Time	B0	B1	B2	B3
0.00000	67	 0	0	0
0.18634	66	 0	0	0
0.20586	65	 0	0	0
0.21046	64	 0	0	0
0.23080	63	 0	0	0
0.29500	62	 0	0	0
0.44250	61	 0	0	0
0.56597	60	 0	0	0
0.60790	59	 0	0	0
0.62772	58	 0	0	0
0.66785	57	 0	0	0
0.72044	56	 0	0	0
0.79175	55	 0	0	0
0.79530	54	 0	0	0
0.79847	53	 0	0	0
0.81371	52	 0	0	0
0.82240	51	 0	0	0
0.82833	50	 0	0	0
0.84634	49	 0	0	0
0.84750	48	 0	0	0
0.84953	47	 0	0	0
0.85664	46	 0	0	0
0.86642	45	 0	0	0
0.86675	44	 0	0	0
0.86780	43	 0	0	0
0.86838	42	 0	0	0
0.87083	41	 0	0	0
0.88210	40	 0	0	0
0.88663	39	 0	0	0
0.88810	39	 1	0	0
0.88822	38	 1	0	0
0.89440	38	 2	0	0
0.89504	37	 2	0	0
0.89830	36	 2	0	0
0.90257	35	 2	0	0
0.90539	34	 2	0	0
0.90957	34	 3	0	0
0.90970	33	 3	0	0
0.91269	33	 4	0	0
0.91287	32	 4	0	0
0.91563	31	 4	0	0
0.91942	30	 4	0	0
0.92164	29	 4	0	0
0.92254	28	 4	0	0
0.92275	28	 5	0	0
0.92433	28	 6	0	0
0.92519	28	 7	0	0
0.92532	27	 7	0	0
0.92541	26	 7	0	0
0.92600	26	 8	0	0
0.92612	26	 9	0	0
0.92654	26	10	0	0
0.92656	26	11	0	0
0.92703	26	12	0	0
0.92980	25	12	0	0
0.93110	25	13	0	0
0.93175	24	13	0	0
0.93189	23	13	0	0
0.93522	23	14	0	0
0.93563	23	16	0	0
0.93592	23	17	0	0
0.93925	23	18	0	0
0.93980	22	18	0	0
0.93997	22	19	0	0
0.94116	22	20	0	0
0.94331	22	21	0	0
0.94440	22	22	0	0
0.94460	22	23	0	0
0.94663	21	23	0	0
0.94699	20	23	0	0
0.94795	20	24	0	0
0.94844	19	24	0	0
0.94880	19	25	0	0
0.95047	18	25	0	0
0.95107	18	26	0	0
0.95280	18	27	0	0
0.95333	18	28	0	0
0.95415	17	28	0	0
0.95416	17	29	0	0
0.95597	17	30	0	0
0.95640	17	31	0	0
0.95670	17	32	0	0
0.95807	16	32	0	0
0.96030	16	33	0	0
0.96141	15	33	0	0
0.96275	14	33	0	0
0.96385	14	34	0	0
0.96399	14	35	0	0
0.96403	14	36	0	0
0.96530	13	36	0	0
0.96685	13	37	0	0
0.96869	13	38	0	0
0.96876	13	39	0	0
0.96940	12	39	0	0
0.97035	12	40	0	0
0.97196	12	41	0	0
0.97231	12	42	0	0
0.97290	12	43	0	0
0.97299	11	43	0	0
0.97411	10	43	0	0
0.97439	10	44	0	0
0.97490	 9	44	0	0
0.97679	 8	44	0	0
0.97711	 8	45	0	0
0.97715	 7	45	0	0
0.97825	 7	46	0	0
0.97858	 7	47	0	0
0.98004	 7	48	0	0
0.98110	 7	49	0	0
0.98165	 7	50	0	0
0.98230	 6	50	0	0
0.98315	 6	51	0	0
0.98420	 5	51	0	0
0.98511	 5	52	0	0
0.98555	 5	53	0	0
0.98653	 5	54	0	0
0.98710	 4	54	0	0
0.99000	 3	54	0	0
0.99073	 2	54	0	0
0.99110	 2	55	0	0
0.99125	 2	56	0	0
0.99322	 2	57	0	0
0.99328	 2	58	0	0
0.99350	 2	59	0	0
0.99640	 1	59	0	0
0.99940	 1	60	0	0
0.99955	 1	61	0	0
0.99970	 1	62	0	0
1.00000	 1	51	0	0
1.07424	 1	50	0	0
1.09856	 1	49	0	0
1.11989	 1	48	0	0
1.16002	 1	47	0	0
1.19369	 1	46	0	0
1.29557	 1	36	0	0
1.67740	 1	35	0	0
1.69323	 1	33	0	0
1.70617	 1	32	0	0
1.71050	 1	28	0	0
1.71530	 1	27	0	0
1.74190	 1	24	0	0
1.75921	 1	22	0	0
1.76146	 1	17	0	0
1.77573	 1	16	0	0
1.77606	 1	15	0	0
1.79079	 1	14	0	0
1.79780	 1	13	0	0
1.80985	 1	12	0	0
1.81720	 1	11	0	0
1.82282	 1	10	0	0
1.82349	 1	 8	1	0
1.82789	 1	 7	2	0
1.83393	 1	 7	1	0
1.83490	 1	 7	2	0
1.83511	 1	 6	2	0
1.83543	 1	 6	3	0
1.83810	 1	 5	3	0
1.83946	 1	 5	2	0
1.85110	 1	 5	1	0
1.85163	 1	 5	0	0
1.85509	 1	 5	1	0
1.89359	 1	 5	2	0
1.90488	 1	 5	1	0
1.90687	 1	 5	2	0
1.91639	 1	 4	2	0
1.92082	 1	 4	1	0
1.92110	 1	 3	1	0
1.92864	 1	 2	1	0
1.93014	 1	 1	1	0
1.93210	 1	 0	1	0
1.95200	 1	 0	2	0
1.95576	 1	 0	1	0
2.00319	 1	 0	0	0
    Inf	 1	 0	0	0
