Time	B0	B1	B2	B3
0.00000	75	 0	0	0
0.18634	74	 0	0	0
0.19672	73	 0	0	0
0.20586	72	 0	0	0
0.20602	71	 0	0	0
0.21046	70	 0	0	0
0.23080	69	 0	0	0
0.26120	68	 0	0	0
0.56490	67	 0	0	0
0.56597	66	 0	0	0
0.57365	65	 0	0	0
0.60790	64	 0	0	0
0.64431	63	 0	0	0
0.65700	62	 0	0	0
0.68700	61	 0	0	0
0.69690	60	 0	0	0
0.72044	59	 0	0	0
0.77680	58	 0	0	0
0.79175	57	 0	0	0
0.80760	56	 0	0	0
0.81195	55	 0	0	0
0.82240	54	 0	0	0
0.82644	53	 0	0	0
0.82840	52	 0	0	0
0.83768	51	 0	0	0
0.84634	50	 0	0	0
0.84750	49	 0	0	0
0.84953	48	 0	0	0
0.85640	47	 0	0	0
0.85664	46	 0	0	0
0.85875	46	 1	0	0
0.86157	45	 1	0	0
0.86780	44	 1	0	0
0.86838	44	 2	0	0
0.87083	43	 3	0	0
0.87420	42	 3	0	0
0.88106	41	 3	0	0
0.88210	40	 3	0	0
0.88663	39	 3	0	0
0.88822	38	 3	0	0
0.89440	38	 4	0	0
0.89830	37	 4	0	0
0.89973	37	 5	0	0
0.90096	36	 5	0	0
0.90202	36	 4	0	0
0.90539	35	 4	0	0
0.90957	35	 5	0	0
0.90970	34	 5	0	0
0.91287	33	 5	0	0
0.91350	33	 6	0	0
0.91403	33	 7	0	0
0.91540	32	 7	0	0
0.91750	32	 8	0	0
0.91942	31	 8	0	0
0.92157	31	 9	0	0
0.92170	30	 9	0	0
0.92212	30	10	0	0
0.92244	30	11	0	0
0.92275	30	12	0	0
0.92285	30	13	0	0
0.92380	30	10	0	0
0.92419	29	10	0	0
0.92519	29	11	0	0
0.92532	29	12	0	0
0.92541	28	12	0	0
0.92600	28	13	0	0
0.92612	28	14	0	0
0.92654	28	15	0	0
0.92656	28	16	0	0
0.92703	28	17	0	0
0.92980	27	17	0	0
0.93010	27	18	0	0
0.93144	26	18	0	0
0.93175	25	18	0	0
0.93238	25	19	0	0
0.93313	24	19	0	0
0.93522	24	20	0	0
0.93563	24	21	0	0
0.93643	24	22	0	0
0.93925	24	23	0	0
0.93979	23	23	0	0
0.93997	22	23	0	0
0.94070	22	24	0	0
0.94140	21	24	0	0
0.94325	21	25	0	0
0.94331	21	26	0	0
0.94384	20	26	0	0
0.94460	20	27	0	0
0.94640	19	27	0	0
0.94663	18	27	0	0
0.94827	17	27	0	0
0.94844	16	27	0	0
0.94880	16	28	0	0
0.95047	16	29	0	0
0.95107	16	30	0	0
0.95260	16	31	0	0
0.95281	16	32	0	0
0.95333	16	33	0	0
0.95807	15	33	0	0
0.95870	14	33	0	0
0.95885	14	34	0	0
0.96030	14	35	0	0
0.96106	14	36	0	0
0.96110	14	37	0	0
0.96141	13	37	0	0
0.96250	13	38	0	0
0.96275	12	38	0	0
0.96280	12	39	0	0
0.96399	12	40	0	0
0.96403	12	41	0	0
0.96530	11	41	0	0
0.96685	11	42	0	0
0.96869	11	43	0	0
0.96876	11	44	0	0
0.97049	10	44	0	0
0.97196	10	45	0	0
0.97206	 9	45	0	0
0.97231	 9	46	0	0
0.97290	 9	47	0	0
0.97439	 9	48	0	0
0.97679	 8	48	0	0
0.97728	 7	48	0	0
0.97825	 7	49	0	0
0.97858	 6	49	0	0
0.97996	 6	50	0	0
0.98100	 6	51	0	0
0.98165	 6	52	0	0
0.98230	 5	52	0	0
0.98315	 5	53	0	0
0.98321	 5	54	0	0
0.98511	 5	55	0	0
0.98691	 5	56	0	0
0.98732	 5	57	0	0
0.98796	 4	57	0	0
0.99022	 3	57	0	0
0.99046	 3	58	0	0
0.99125	 3	59	0	0
0.99268	 2	60	0	0
0.99322	 1	60	0	0
0.99640	 1	61	0	0
0.99647	 1	62	0	0
0.99733	 1	63	0	0
0.99761	 1	62	0	0
0.99820	 1	63	0	0
0.99970	 1	64	0	0
1.00000	 1	52	0	0
1.03246	 1	51	0	0
1.11989	 1	50	0	0
1.12756	 1	49	0	0
1.21028	 1	48	0	0
1.25297	 1	47	0	0
1.41985	 1	46	0	0
1.47370	 1	45	0	0
1.48539	 1	44	0	0
1.49016	 1	43	0	0
1.50594	 1	42	0	0
1.51237	 1	41	0	0
1.51442	 1	40	0	0
1.51514	 1	38	0	0
1.63435	 1	35	0	0
1.63760	 1	33	0	0
1.64963	 1	31	0	0
1.65890	 1	27	0	0
1.67352	 1	26	0	0
1.67598	 1	25	0	0
1.68278	 1	24	0	0
1.68720	 1	23	0	0
1.69837	 1	21	0	0
1.69924	 1	19	0	0
1.70199	 1	18	0	0
1.70221	 1	16	0	0
1.70248	 1	15	0	0
1.70336	 1	14	0	0
1.70346	 1	13	0	0
1.70851	 1	12	0	0
1.85244	 1	11	0	0
1.85850	 1	11	1	0
1.86325	 1	 9	1	0
1.86843	 1	 9	0	0
1.87123	 1	 5	0	0
1.89882	 1	 3	0	0
1.91465	 1	 3	1	0
1.91725	 1	 3	0	0
1.91835	 1	 3	1	0
1.92729	 1	 3	0	0
1.92992	 1	 0	0	0
    Inf	 1	 0	0	0
