Time	B0	B1	B2	B3
0.00000	59	 0	0	0
0.18634	58	 0	0	0
0.19672	57	 0	0	0
0.20586	56	 0	0	0
0.23080	55	 0	0	0
0.26120	54	 0	0	0
0.29500	53	 0	0	0
0.44250	52	 0	0	0
0.54193	51	 0	0	0
0.57365	50	 0	0	0
0.62772	49	 0	0	0
0.64431	48	 0	0	0
0.66785	47	 0	0	0
0.68250	46	 0	0	0
0.68700	45	 0	0	0
0.75763	44	 0	0	0
0.77680	43	 0	0	0
0.79175	42	 0	0	0
0.79847	41	 0	0	0
0.80760	40	 0	0	0
0.80963	39	 0	0	0
0.81195	38	 0	0	0
0.82240	37	 0	0	0
0.82644	37	 1	0	0
0.82840	37	 2	0	0
0.83573	37	 3	0	0
0.84634	36	 3	0	0
0.84750	35	 3	0	0
0.85488	34	 3	0	0
0.85664	33	 3	0	0
0.86480	32	 3	0	0
0.86838	32	 4	0	0
0.87083	31	 5	0	0
0.88210	30	 5	0	0
0.88822	29	 5	0	0
0.89440	29	 6	0	0
0.90260	29	 7	0	0
0.90539	28	 7	0	0
0.90957	28	 8	0	0
0.91327	27	 8	0	0
0.91350	26	 8	0	0
0.91540	25	 8	0	0
0.91750	25	 9	0	0
0.91942	24	 9	0	0
0.92140	23	 9	0	0
0.92163	22	 9	0	0
0.92200	22	10	0	0
0.92254	21	10	0	0
0.92275	21	11	0	0
0.92285	21	12	0	0
0.92309	21	13	0	0
0.92380	21	10	0	0
0.92532	20	10	0	0
0.92541	20	11	0	0
0.92612	20	12	0	0
0.92654	20	13	0	0
0.92703	20	14	0	0
0.93010	20	15	0	0
0.93189	19	15	0	0
0.93313	18	15	0	0
0.93414	18	16	0	0
0.93416	17	16	0	0
0.93563	17	17	0	0
0.93643	17	18	0	0
0.93780	16	18	0	0
0.94067	16	19	0	0
0.94116	16	20	0	0
0.94331	15	20	0	0
0.94640	14	20	0	0
0.94730	14	21	0	0
0.94795	14	23	0	0
0.94880	14	24	0	0
0.95107	14	25	0	0
0.95260	14	26	0	0
0.95280	14	27	0	0
0.95333	14	28	0	0
0.95415	13	28	0	0
0.95670	13	29	0	0
0.95807	12	29	0	0
0.95830	12	30	0	0
0.96126	11	30	0	0
0.96141	10	30	0	0
0.96250	10	31	0	0
0.96280	10	32	0	0
0.96385	 9	32	0	0
0.96399	 9	33	0	0
0.96403	 9	34	0	0
0.96426	 8	34	0	0
0.96574	 8	35	0	0
0.96886	 8	34	0	0
0.97206	 7	34	0	0
0.97231	 7	35	0	0
0.97299	 6	35	0	0
0.97373	 6	36	0	0
0.97490	 5	36	0	0
0.97679	 4	36	0	0
0.97711	 4	37	0	0
0.97774	 4	38	0	0
0.97996	 4	39	0	0
0.98004	 4	40	0	0
0.98100	 4	41	0	0
0.98511	 3	41	0	0
0.98555	 3	42	0	0
0.99022	 2	42	0	0
0.99110	 2	43	0	0
0.99125	 2	44	0	0
0.99322	 1	44	0	0
0.99654	 1	45	0	0
0.99733	 1	46	0	0
0.99761	 1	45	0	0
0.99774	 1	46	0	0
0.99780	 1	47	0	0
0.99820	 1	49	0	0
0.99970	 1	47	0	0
1.00000	 1	48	0	0
1.00433	 1	47	0	0
1.03230	 1	39	0	0
1.15846	 1	38	0	0
1.16965	 1	37	0	0
1.18624	 1	36	0	0
1.22893	 1	35	0	0
1.29557	 1	26	0	0
1.63435	 1	25	0	0
1.65890	 1	22	0	0
1.67675	 1	20	0	0
1.68278	 1	18	0	0
1.68720	 1	17	0	0
1.69989	 1	16	2	0
1.70212	 1	15	2	0
1.70221	 1	14	2	0
1.70292	 1	14	0	0
1.70334	 1	 9	0	0
1.71968	 1	 8	0	0
1.72144	 1	 7	0	0
1.79560	 1	 6	0	0
1.85509	 1	 5	0	0
1.88831	 1	 4	0	0
1.89814	 1	 3	0	0
1.89842	 1	 0	0	0
    Inf	 1	 0	0	0
