Time	B0	B1	B2	B3
0.00000	43	 0	0	0
0.18634	42	 0	0	0
0.21046	41	 0	0	0
0.54193	40	 0	0	0
0.56490	39	 0	0	0
0.57365	38	 0	0	0
0.60790	37	 0	0	0
0.64716	36	 0	0	0
0.72264	35	 0	0	0
0.81371	34	 0	0	0
0.83573	33	 0	0	0
0.83768	32	 0	0	0
0.84543	31	 0	0	0
0.84634	30	 0	0	0
0.84953	29	 0	0	0
0.86642	28	 0	0	0
0.88822	27	 0	0	0
0.89504	26	 0	0	0
0.91563	25	 0	0	0
0.92170	24	 0	0	0
0.92285	23	 0	0	0
0.92419	22	 0	0	0
0.92577	21	 0	0	0
0.92654	20	 0	0	0
0.92703	20	 1	0	0
0.93010	19	 1	0	0
0.93292	18	 1	0	0
0.93313	17	 1	0	0
0.93416	16	 1	0	0
0.93565	15	 1	0	0
0.93643	15	 2	0	0
0.93682	15	 3	0	0
0.94384	14	 3	0	0
0.94640	13	 3	0	0
0.94795	13	 4	0	0
0.94827	12	 4	0	0
0.94880	12	 5	0	0
0.95047	12	 6	0	0
0.95280	12	 7	0	0
0.95597	12	 8	0	0
0.95640	12	 9	0	0
0.95670	12	10	0	0
0.95807	11	10	0	0
0.96275	10	10	0	0
0.96399	 9	10	0	0
0.96403	 9	11	0	0
0.96426	 9	12	0	0
0.96560	 9	13	0	0
0.96886	 9	14	0	0
0.97173	 9	15	0	0
0.97231	 9	16	0	0
0.97679	 8	16	0	0
0.97996	 8	17	0	0
0.98100	 8	18	0	0
0.98165	 7	18	0	0
0.98230	 7	19	0	0
0.98245	 7	20	0	0
0.98272	 6	20	0	0
0.98315	 6	21	0	0
0.98420	 6	22	0	0
0.98511	 6	23	0	0
0.98555	 6	24	0	0
0.98835	 5	24	0	0
0.99022	 4	24	0	0
0.99046	 4	25	0	0
0.99125	 4	26	0	0
0.99126	 4	27	0	0
0.99380	 4	28	0	0
0.99390	 3	28	0	0
0.99580	 3	29	0	0
0.99690	 2	29	0	0
0.99733	 2	30	0	0
0.99774	 1	30	0	0
0.99820	 1	28	0	0
1.00000	 1	26	0	0
1.15194	 1	25	0	0
1.17054	 1	24	0	0
1.17760	 1	23	0	0
1.18909	 1	22	0	0
1.37765	 1	16	0	0
1.59996	 1	13	0	0
1.65914	 1	12	0	0
1.76146	 1	 9	0	0
1.79243	 1	 8	0	0
1.85357	 1	 7	0	0
1.86693	 1	 6	0	0
1.86996	 1	 5	0	0
1.87326	 1	 5	1	0
1.87534	 1	 5	2	0
1.87734	 1	 3	2	0
1.88572	 1	 3	1	0
1.92992	 1	 2	1	0
1.93580	 1	 1	1	0
1.93660	 1	 1	2	0
1.95220	 1	 1	3	0
1.95414	 1	 1	4	0
1.96503	 1	 0	4	0
1.98970	 1	 0	6	0
1.99354	 1	 0	4	0
2.06383	 1	 0	3	0
2.45823	 1	 0	2	0
2.53015	 1	 0	1	0
2.69539	 1	 0	0	0
    Inf	 1	 0	0	0
